Model,Accuracy,F1_macro,F1_weighted
InceptionV3,0.81125,0.8087290881498362,0.8087290881498364
MobileNetV3,0.87375,0.8731708839300321,0.8731708839300322
DenseNet121,0.78,0.777612656969731,0.7776126569697311
EfficientNetB0,0.75375,0.7528167193666115,0.7528167193666115
